# turn             x            px             y            py             z            pz   track state
   168   2.17999E-06  -2.03233E-06   0.00000E+00   0.00000E+00  -2.10490E-04   1.70000E-02            -9
   169   4.29195E-05  -4.28201E-06   0.00000E+00   0.00000E+00  -2.11760E-04   1.70000E-02            -9
   170   4.64770E-05   3.73068E-06   0.00000E+00   0.00000E+00  -2.12990E-04   1.70000E-02            -9
   171   4.32287E-06   2.80283E-06   0.00000E+00   0.00000E+00  -2.14256E-04   1.70000E-02            -9
   172   1.75068E-05  -4.84637E-06   0.00000E+00   0.00000E+00  -2.15541E-04   1.70000E-02            -9
   173   5.44300E-05  -8.76058E-07   0.00000E+00   0.00000E+00  -2.16789E-04   1.70000E-02            -9
   174   2.65718E-05   5.19346E-06   0.00000E+00   0.00000E+00  -2.18027E-04   1.70000E-02            -9
   175   7.23501E-07  -1.18696E-06   0.00000E+00   0.00000E+00  -2.19310E-04   1.70000E-02            -9
   176   3.88393E-05  -4.72082E-06   0.00000E+00   0.00000E+00  -2.20584E-04   1.70000E-02            -9
   177   4.95556E-05   3.06007E-06   0.00000E+00   0.00000E+00  -2.21815E-04   1.70000E-02            -9
   178   7.17853E-06   3.50788E-06   0.00000E+00   0.00000E+00  -2.23076E-04   1.70000E-02            -9
   179   1.32955E-05  -4.45604E-06   0.00000E+00   0.00000E+00  -2.24362E-04   1.70000E-02            -9
   180   5.32457E-05  -1.73560E-06   0.00000E+00   0.00000E+00  -2.25615E-04   1.70000E-02            -9
   181   3.12542E-05   5.14375E-06   0.00000E+00   0.00000E+00  -2.26850E-04   1.70000E-02            -9
   182   4.77307E-08  -3.06775E-07   0.00000E+00   0.00000E+00  -2.28130E-04   1.70000E-02            -9
   183   3.44248E-05  -5.02159E-06   0.00000E+00   0.00000E+00  -2.29407E-04   1.70000E-02            -9
   184   5.19859E-05   2.30005E-06   0.00000E+00   0.00000E+00  -2.30640E-04   1.70000E-02            -9
   185   1.06262E-05   4.11011E-06   0.00000E+00   0.00000E+00  -2.31896E-04   1.70000E-02            -9
   186   9.49750E-06  -3.93515E-06   0.00000E+00   0.00000E+00  -2.33183E-04   1.70000E-02            -9
   187   5.13050E-05  -2.54444E-06   0.00000E+00   0.00000E+00  -2.34440E-04   1.70000E-02            -9
   188   3.58244E-05   4.94355E-06   0.00000E+00   0.00000E+00  -2.35673E-04   1.70000E-02            -9
   189   1.72425E-07   5.82403E-07   0.00000E+00   0.00000E+00  -2.36949E-04   1.70000E-02            -9
   190   2.98052E-05  -5.17547E-06   0.00000E+00   0.00000E+00  -2.38230E-04   1.70000E-02            -9
   191   5.36967E-05   1.47284E-06   0.00000E+00   0.00000E+00  -2.39466E-04   1.70000E-02            -9
   192   1.45652E-05   4.59189E-06   0.00000E+00   0.00000E+00  -2.40717E-04   1.70000E-02            -9
